Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
2584,15,0,2,16,2015-01-03 00:00:00.000000000,0,0.182,0.6400000000000001,0.32391165464999544,0
7112,13,0,3,10,2015-01-04 00:00:00.000000000,0,0.7665,0.19999999999999996,0.2738249520854248,0
7123,46,1,13,20,2015-01-04 00:00:00.000000000,0,0.09900000000000003,0.8800000000000001,0.18080679017979376,0
7134,37,6,5,4,2015-01-04 00:00:00.000000000,0,0.1295,0.6800000000000002,0.13627817833348543,0
3193,42,2,10,19,2015-01-05 00:00:00.000000000,1,0.189,1.0,0.11317878981473029,0
9326,37,5,14,17,2015-01-06 00:00:00.000000000,3,0.3065,0.8400000000000001,0.10900794012959752,0
8484,14,6,6,14,2015-01-06 00:00:00.000000000,3,0.502,0.5200000000000001,0.5397371543305649,0
9329,14,4,19,1,2015-01-06 00:00:00.000000000,3,0.8505,0.3600000000000001,0.29835721456603087,0
9319,2,6,16,1,2015-01-06 00:00:00.000000000,3,0.49750000000000005,0.3600000000000001,0.15433056493565755,0
9327,14,2,4,4,2015-01-06 00:00:00.000000000,3,0.5195,0.5200000000000001,0.5106963584922881,0
5971,33,3,0,19,2015-01-06 00:00:00.000000000,3,0.37150000000000005,0.8400000000000001,0.3286300994797846,0
2240,38,5,14,2,2015-01-06 00:00:00.000000000,4,0.8795,1.0,0.0800401569772748,0
9354,45,6,16,7,2015-01-06 00:00:00.000000000,3,0.8285,0.31999999999999995,0.21318791640047455,0
9907,23,5,8,5,2015-01-06 00:00:00.000000000,3,0.14800000000000002,0.9200000000000002,0.107721091539655,0
9328,26,1,21,3,2015-01-06 00:00:00.000000000,3,0.5185,0.6400000000000001,0.2575066167746646,0
9915,9,2,10,3,2015-01-06 00:00:00.000000000,3,0.379,0.16000000000000003,0.3099114721182805,0
603,30,0,1,18,2015-01-07 00:00:00.000000000,0,0.39,0.07999999999999996,0.3040522040704572,0
2840,14,2,4,18,2015-01-07 00:00:00.000000000,0,0.718,0.0,0.06530072100027379,0
5489,37,5,22,12,2015-01-09 00:00:00.000000000,0,0.46599999999999997,0.19999999999999996,0.2514100574974902,0
5478,29,3,7,16,2015-01-09 00:00:00.000000000,0,0.9545000000000001,0.6800000000000002,0.768449393082048,0
8522,7,2,10,18,2015-01-10 00:00:00.000000000,3,0.41500000000000004,0.8400000000000001,0.08620060235465912,0
8511,0,2,4,6,2015-01-10 00:00:00.000000000,3,0.28300000000000003,0.6800000000000002,0.15207629825682212,0
6856,16,4,11,17,2015-01-11 00:00:00.000000000,1,0.7595000000000001,0.16000000000000003,0.7692981655562653,0
4901,3,1,21,20,2015-02-01 00:00:00.000000000,0,0.41900000000000004,0.6800000000000002,0.31887377931915667,0
9535,21,5,22,6,2015-02-02 00:00:00.000000000,4,0.202,0.9600000000000002,0.23271880989321897,0
