Date,Sales
2018-12-12,0.5137635741322152
2018-12-13,0.5024610085280502
2018-12-14,0.4994249436352427
2018-12-15,0.503539189322902
2018-12-16,0.5147323682739731
2018-12-17,0.5073958341363215
2018-12-18,0.5059379300450643
2018-12-19,0.5042244857170834
2018-12-20,0.504799991896783
2018-12-21,0.5051241490773389
2018-12-22,0.5048810501323145
2018-12-23,0.5047570310361393
2018-12-24,0.5044730371172816
2018-12-25,0.5045176578402715
2018-12-26,0.5045029896555904
2018-12-27,0.5045219640774766
2018-12-28,0.504515238109119
2018-12-29,0.5044980951124316
2018-12-30,0.504500141180729
2018-12-31,0.5044993070692003
2019-01-01,0.5045044788110525
2019-01-02,0.5045051209980771
2019-01-03,0.5045056683250205
2019-01-04,0.5045059814066133
2019-01-05,0.5045062370782432
2019-01-06,0.5045068388800376
2019-01-07,0.5045070245727007
2019-01-08,0.5045072059856759
2019-01-09,0.5045072275690055
2019-01-10,0.5045072510889678
